item_number,category,product,vendor_id,vendor_name,bottle_ml,pack_size,inner_pack,age,proof,list_date,list_year,upc,scc,state_bottle_cost,state_case_cost,state_bottle_retail,report_date
31544,AMERICAN DRY GINS,No. 209 Gin,13,"209, Ltd",750,6,1,0,92,07/01/2008,2008,,,17.59,105.55,26.39,01/04/16
951175,FLAVORED RUM,Kirk & Sweeney 12YR Old Anejo,110,3 Badge Mixology,750,6,1,12,80,01/01/2016,2016,856442005086,856442005086,17.5,105,26.25,01/04/16
13728,CANADIAN WHISKIES,Masterson's 10YR Straight Barley,110,3 Badge Mixology,750,6,1,0,92,12/01/2013,2013,89105810073,89105810073,39.42,236.5,59.13,01/04/16
13730,STRAIGHT RYE WHISKIES,Masterson's 10YR Straight Rye,110,3 Badge Mixology,750,6,1,0,90,12/01/2013,2013,89105810066,89105810066,39.42,236.5,59.13,01/04/16
32650,FLAVORED GINS,Uncle Val's,110,3 Badge Mixology,750,6,1,0,90,12/01/2013,2013,85924100319,85924100319,22.09,132.5,33.14,01/04/16
42511,SPICED RUM,Kirk & Sweeney,110,3 Badge Mixology,750,6,1,0,80,12/01/2013,2013,89105310115,89105310115,22.09,132.5,33.14,01/04/16
932650,AMERICAN SLOE GINS,Uncle Val's Botanical Gin,110,3 Badge Mixology,750,6,1,0,90,12/01/2015,2015,85924100319,85924100319,17.5,105,26.25,01/04/16
45656,PUERTO RICO & VIRGIN ISLANDS RUM,Red Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,09/01/1997,1997,,,4.25,50.96,6.38,01/04/16
602297,FLAVORED RUM,Voo Doo Spice Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,04/29/2005,2005,,,0,122,0,01/04/16
902248,FLAVORED RUM,Voo Doo Rum,474,"3-D Spirits, Inc.",750,12,1,0,70,04/29/2005,2005,,,10.17,122,15.26,01/04/16
902297,FLAVORED RUM,Jolly Roger Rum,474,"3-D Spirits, Inc.",750,12,1,0,80,04/29/2005,2005,,,8.92,107,13.38,01/04/16
989158,,Gamle Ode Dill Aquavit,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003001,858311003001,19.2,115.2,28.8,01/04/16
989159,,Gamle Ode Celebration Aquavit,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003018,858311003018,19.2,115.2,28.8,01/04/16
989160,,Gamle Ode Holiday,164,45th Parallel Spirits,750,6,1,0,84,12/01/2015,2015,858311003025,858311003025,19.86,119.16,29.79,01/04/16
902315,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Passion Fruit,11,888 Imports,750,6,1,0,31,09/11/2008,2008,,,15.83,95,23.75,01/04/16
902770,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Lychee,11,888 Imports,750,6,1,0,32,09/11/2008,2008,,,15.83,95,23.75,01/04/16
902905,MISC. IMPORTED CORDIALS & LIQUEURS,Orchid Pomegranate Liqueur,11,888 Imports,750,6,1,0,28,09/11/2008,2008,,,15.83,95,23.75,01/04/16
